ULTIMA ACT. COSTO,PRODUCTO,COSTO,PROVEEDOR,CODIGO
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,302258
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,306491
15/09/2025,ADHESIVO TRANSPARENTE B7000 X 50ML,"2,680.00",,399071
16/03/2026,*,0.00,,304025
16/03/2026,*,0.00,REX,304026
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,304027
16/03/2026,*,0.00,,309361
16/03/2026,*,0.00,,309363
16/03/2026,*,0.00,,309362
16/03/2026,*,0.00,,309364
16/03/2026,*,0.00,,308650
16/03/2026,*,0.00,,308651
16/03/2026,*,0.00,,308682
16/03/2026,*,0.00,,308653
16/03/2026,*,0.00,,308654
16/03/2026,*,0.00,,308655
16/03/2026,*,0.00,,308684
16/03/2026,MICROFIBRA FILGO LINER 038 PUNTA 0.4,500.00,REX,300278
16/03/2026,*,0.00,,304384
16/03/2026,FUNDA TRAZO TRANSPARENTE PARA CUADERNO CHICO TAPA DURA X 1,777.78,ESTELA MONTENEGRO S.R.L.,300279
16/03/2026,PAPEL COREANO CBX X 1,833.33,ESTELA MONTENEGRO S.R.L.,300282
16/03/2026,*,0.00,,308055
16/03/2026,CARPETA REXON RIVADAVIA AROS PVC LISA,"3,388.89",REX,300224
16/03/2026,*,0.00,,308061
16/03/2026,*,0.00,,307301
16/03/2026,*,0.00,,308282
16/03/2026,*,0.00,,308293
16/03/2026,*,0.00,,308295
16/03/2026,*,0.00,,308279
16/03/2026,*,0.00,,308283
16/03/2026,*,0.00,,308323
16/03/2026,*,0.00,,308324
16/03/2026,*,0.00,,308291
16/03/2026,*,0.00,,308755
16/03/2026,*,0.00,REX,308756
16/03/2026,*,0.00,REX,308757
16/03/2026,*,0.00,,308758
16/03/2026,*,0.00,,308199
16/03/2026,*,0.00,,308208
16/03/2026,*,0.00,,302555
16/03/2026,*,0.00,,302550
16/03/2026,*,0.00,,302552
16/03/2026,*,0.00,,305236
16/03/2026,*,0.00,,302581
16/03/2026,*,0.00,REX,305232
16/03/2026,*,0.00,REX,303630
16/03/2026,*,0.00,REX,305229
16/03/2026,*,0.00,,303640
16/03/2026,*,0.00,,303709
16/03/2026,*,0.00,REX,304645
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307150
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307165
16/03/2026,*,0.00,,302339
16/03/2026,*,0.00,,304570
16/03/2026,*,0.00,,302340
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,302304
16/03/2026,*,0.00,,304865
16/03/2026,*,0.00,,304866
31/07/2025,ALAS DE MARIPOSA,"2,500.00",,JU0001
08/11/2025,GOMA ESPUMA X METRO,"3,238.64",,GE
16/03/2026,*,0.00,REX,307185
16/03/2026,*,0.00,,304106
16/03/2026,*,0.00,,302317
16/03/2026,*,0.00,REX,303058
16/03/2026,*,0.00,,303453
16/03/2026,*,0.00,,303542
16/03/2026,*,0.00,,302034
16/03/2026,*,0.00,REX,302293
16/03/2026,*,0.00,REX,303915
16/03/2026,*,0.00,,303901
16/03/2026,*,0.00,REX,303916
16/03/2026,*,0.00,REX,302089
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,302610
16/03/2026,*,0.00,REX,304334
28/06/2025,MUÑECA SIRENA A CUERDA SD22775,"4,050.00",,JUG0002
28/06/2025,PELUCHE PHI PHI TOYS LECHUZA 8210,"8,200.00",,303321
11/12/2025,JUEGO DE MESA BONTUS ROMPECABEZAS / GRANJA / DETECTIVE DE ANIMALES,"2,454.00",REX,JUG44111
11/12/2025,MASA BONTUS DIVERMASA ANIMALES / PRINCESAS / COMIDITAS / DINOSAURIOS,"1,870.00",REX,J0000000000191
28/06/2025,BILLETERA TRENDY 18340,"4,800.00",,4790020183406
28/06/2025,SOMBRA LIQUIDA - LIQUID EYE SHADOW *11-03-24,"1,600.00",,2656
28/06/2025,BILLETERA TRENDY 18352,"4,800.00",,4790010183522
28/06/2025,BOTELLA DEPORTIVA ALUMINIO NS249662 / NS249661,"1,400.00",,REG7989
28/06/2025,POOL BL FD252011,"3,680.00",,JUG307403
28/06/2025,PUZZLE MADERA ABC 54 PZAS 10305-003,"8,100.00",,JUG 360058
28/06/2025,DELINEADOR EN FIBRA PINK21 / FIT ME 11-03-24,600.00,,PNK21
11/12/2025,JUEGO DE PLAYA DURAVIT 524 BARCO CON ACCESORIOS,"8,758.50",REX,JUG310243
11/12/2025,JUEGO DE PLAYA DURAVIT 532 CANASTA,"5,710.90",REX,JUG303326
16/03/2026,*,0.00,REX,306524
16/03/2026,*,0.00,REX,306533
04/02/2026,OSITO ROSA CON CORAZON,"6,990.00",WINNIE,JUG765
28/06/2025,BILLETERA TRENDY 18341,"4,200.00",,4790020183413
28/06/2025,PEZONERA CONEJO SILICONA SR-679,"2,490.00",,ACC7890002
16/03/2026,*,0.00,REX,309044
16/03/2026,*,0.00,REX,309040
16/03/2026,*,0.00,,302240
16/03/2026,*,0.00,,306135
16/03/2026,*,0.00,REX,304082
16/03/2026,*,0.00,REX,304083
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308189
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308191
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308235
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,309004
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,301514
16/03/2026,*,0.00,REX,301140
16/03/2026,*,0.00,REX,302113
16/03/2026,*,0.00,,308816
16/03/2026,*,0.00,,306300
10/09/2025,BANDEJA MADERA + TAZA DE VIDRIO 420711,"5,200.00",,190500003263.999969482421875
28/06/2025,NYLON PARA FORRAR X METRO,650.00,,190500004183
10/09/2025,*,70.00,,190500000550
16/03/2026,*,0.00,,304618
16/03/2026,*,0.00,,305206
14/10/2025,CINTA LUREX BROOKLYN 1506-0 X20MT,"2,600.00",MILAN,294000765
28/06/2025,PUNTILLA ABROTEX 1845 X MT,"1,496.00",,ME1845
16/03/2026,*,0.00,,304218
16/03/2026,*,0.00,,304220
16/03/2026,*,0.00,REX,304221
16/03/2026,*,0.00,,303606
16/03/2026,*,0.00,,303572
16/03/2026,*,0.00,,303573
16/03/2026,*,0.00,,303142
16/03/2026,*,0.00,,303548
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,303521
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,303524
16/03/2026,*,0.00,REX,303386
16/03/2026,*,0.00,REX,307435
16/03/2026,*,0.00,,307422
16/03/2026,*,0.00,,307048
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308809
16/03/2026,*,0.00,,303197
16/03/2026,*,0.00,,303196
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,303052
16/03/2026,*,0.00,,303053
16/03/2026,*,0.00,REX,307228
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,306382
16/03/2026,*,0.00,,304532
16/03/2026,*,0.00,,302018
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,304051
16/03/2026,*,0.00,,303137
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,303333
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,304615
17/03/2026,BANDERA MILENIO PLASTICA C/SOL 40X60 X 1,"1,611.11",ESTELA MONTENEGRO S.R.L.,1905000002180
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308717
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,304644
16/03/2026,*,0.00,,305233
16/03/2026,*,0.00,,307146
16/03/2026,*,0.00,,307157
16/03/2026,*,0.00,,304123
16/03/2026,*,0.00,,304124
16/03/2026,*,0.00,,310013
16/03/2026,*,0.00,,308646
16/03/2026,*,0.00,,308072
16/03/2026,*,0.00,,306030
16/03/2026,*,0.00,,306031
16/03/2026,*,0.00,,306044
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,306018
16/03/2026,*,0.00,REX,306331
16/03/2026,*,0.00,,306335
16/03/2026,*,0.00,REX,306233
16/03/2026,*,0.00,REX,306234
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308221
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308436
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307448
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307441
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307444
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,304048
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,305020
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,305137
16/03/2026,*,0.00,REX,308371
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308373
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307280
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,307281
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,301079
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,306433
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,306455
16/03/2026,*,0.00,REX,308230
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,309061
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,301166
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,301153
16/03/2026,*,0.00,REX,301144
16/03/2026,*,0.00,REX,302628
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,302204
16/03/2026,*,0.00,REX,302207
16/03/2026,*,0.00,,302083
16/03/2026,*,0.00,,303809
16/03/2026,*,0.00,REX,303266
16/03/2026,*,0.00,REX,306910
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308365
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,301404
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,309356
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308327
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,308071
19/09/2025,DADO COLOR X UNIDAD,170.00,,LI531
02/04/2026,CARTULINA MAG-ALFA ENTRETENIDA X 1,466.00,ESTELA MONTENEGRO S.R.L.,190500001041
17/03/2026,ABROCHADORA MAPED GREEN MINI 24/6 - 26/6 353011,"2,666.67",ESTELA MONTENEGRO S.R.L.,190500000018
17/03/2026,ADHESIVO EL PULPITO X 50 GR,"4,500.00",ESTELA MONTENEGRO S.R.L.,LI6809
17/03/2026,ADHESIVO LA GOTITA GEL,"2,000.00",ESTELA MONTENEGRO S.R.L.,LI6811
17/03/2026,ADHESIVO POXI-RAN TRANSPARENTE 23 GR,"3,666.67",ESTELA MONTENEGRO S.R.L.,LI6813
17/03/2026,ADHESIVO POXIPOL 10MIN.,"4,888.89",ESTELA MONTENEGRO S.R.L.,LI6814
17/03/2026,ADHESIVO SINTETICO KEYROAD X 30ML,388.89,ESTELA MONTENEGRO S.R.L.,190500000106
17/03/2026,ADHESIVO UNIPOX X 25ML,"1,833.33",ESTELA MONTENEGRO S.R.L.,LI6816
17/03/2026,ADHESIVO UNIPOX X 25ML EXTRA FUERTE,"2,944.44",ESTELA MONTENEGRO S.R.L.,LI6817
17/03/2026,ADHESIVO VINILICO KEYROAD X 30 GR,333.33,ESTELA MONTENEGRO S.R.L.,496636
17/03/2026,ADHESIVO VINILICO SEÑORITA X 30,166.67,ESTELA MONTENEGRO S.R.L.,190500000141
17/03/2026,AGENDA ARWEN 2024 NRO 7 SEMANAL T/D - E*24,"3,555.56",,190500003426
17/03/2026,AGENDA MOOVING 10X 15 2 DIAS X PAG 1402102/103/105/128/210,"13,277.78",ESTELA MONTENEGRO S.R.L.,204660
17/03/2026,AGENDA MOOVING 10X 15 DIARIA SPRING 1403128,"12,277.78",ESTELA MONTENEGRO S.R.L.,LI6835
17/03/2026,AGENDA MOOVING 16X22 DIARIA FLORAL/LIFE 1414240/241,"36,833.33",ESTELA MONTENEGRO S.R.L.,204674
17/03/2026,AGENDA MOOVING POCKET CON ESPIRAL 1409102/103/105/128/210,"8,111.11",ESTELA MONTENEGRO S.R.L.,204675
17/03/2026,BANDAS ELASTICAS SEÑORITA X250GR,"2,500.00",ESTELA MONTENEGRO S.R.L.,496633
17/03/2026,BANDAS ELASTICAS SIFAP 10GR X 1,666.67,ESTELA MONTENEGRO S.R.L.,190500000196
17/03/2026,BANDERA MILENIO C/SOL 60X90CM 60X96,"11,666.67",ESTELA MONTENEGRO S.R.L.,190500000210
17/03/2026,BANDERA MILENIO C/SOL 75X 120,"14,555.56",ESTELA MONTENEGRO S.R.L.,190500000211
17/03/2026,BANDERA MILENIO CEREMONIA REGLAMENTARIA ARGENTINA 0.90X 1.44,"61,277.78",ESTELA MONTENEGRO S.R.L.,190500000213
17/03/2026,BANDERA MILENIO CEREMONIA REGLAMENTARIA JARDIN 0 .45X0.72,"32,055.56",ESTELA MONTENEGRO S.R.L.,190500000214
17/03/2026,BANDERA MILENIO CON SOL 90X 150 - 90X 144 CM,"18,722.22",ESTELA MONTENEGRO S.R.L.,190500000212
17/03/2026,BANDERA MILENIO PCIA.CORDOBA 90X 150,"30,388.89",ESTELA MONTENEGRO S.R.L.,190500000215
17/03/2026,BITACORA INTELIGENTE NORPAC T/D X80 B150,"7,222.22",ESTELA MONTENEGRO S.R.L.,202045
17/03/2026,BLOCK LUMA PARA DIBUJO NEGRO N5 X20,"2,555.56",ESTELA MONTENEGRO S.R.L.,190500000339
17/03/2026,BLOCK MANCHA A4 COLOR X24H,"1,777.78",ESTELA MONTENEGRO S.R.L.,190500000333
17/03/2026,BLOCK MI PRIMER CANSON CON ESPIRAL PARA DIBUJO A4 140GR X 40HS,"12,333.33",ESTELA MONTENEGRO S.R.L.,310007
17/03/2026,BLOCK PAPERLAND ACUARELA 25X35,"8,444.44",ESTELA MONTENEGRO S.R.L.,202018
17/03/2026,BLOCK PAPERLAND DIBUJO LISO 35X50 80101012,"18,277.78",ESTELA MONTENEGRO S.R.L.,65412
17/03/2026,BLOCK PAPERLAND DIBUJO LISO A3 8010103,"13,833.33",ESTELA MONTENEGRO S.R.L.,76575
17/03/2026,BLOCK PAPERLAND DIBUJO RUGOSO 35X50 EMBLOC,"19,277.78",ESTELA MONTENEGRO S.R.L.,307314
17/03/2026,BLOCK PAPERLAND DIBUJO RUGOSO A3 EMBLOC,"14,722.22",ESTELA MONTENEGRO S.R.L.,LI4764
17/03/2026,BLOCKS KREKER 3D ENCASTRABLE X80 1818,"8,388.89",ESTELA MONTENEGRO S.R.L.,204709
17/03/2026,BOLIGRAFO KATANA TRAZO MEDIO 513016,111.11,ESTELA MONTENEGRO S.R.L.,LI4874
17/03/2026,BOLSA FANTASIA 18X20,500.00,,302346
17/03/2026,BOLSA FANTASIA 32X30,722.22,,307315
17/03/2026,BOLSA KRAF BOTELLA X 1 14X40,333.33,ESTELA MONTENEGRO S.R.L.,190500000464
17/03/2026,BOLSA KRAF CH G-1 14X20 / 18X20,277.78,ESTELA MONTENEGRO S.R.L.,204740
17/03/2026,BOLSA KRAF DELIVERY 26X30,333.33,ESTELA MONTENEGRO S.R.L.,190500000490
17/03/2026,BOLSA MT PVC C/BROCHE 28X25,111.11,ESTELA MONTENEGRO S.R.L.,LI4965
17/03/2026,BOLSA PANA-PACK FANTAS.14X20 / 18X20,444.44,ESTELA MONTENEGRO S.R.L.,204741
17/03/2026,BOLSA PARA EMBALAJE 40X50,55.56,ESTELA MONTENEGRO S.R.L.,LI6945
17/03/2026,BROCHE CBX PATCHWORK 27X 15 X 1,111.11,REX,LI6952
17/03/2026,CAJA PARA ARCHIVO PLANA CORRUGADO PLASTICO A4 12CM PLANA 705,"3,000.00",ESTELA MONTENEGRO S.R.L.,190500000642
17/03/2026,CAJA PARA ARCHIVO T/O X 12CM TAPA VOLCADA,944.44,ESTELA MONTENEGRO S.R.L.,190500000643
17/03/2026,CAJA PARA ARCHIVO T/O X 9CM TAPA VOLCADA,888.89,ESTELA MONTENEGRO S.R.L.,190500000644
17/03/2026,CAJA PARA ARMAR MEGA N3 T/O ARCHIVO,"2,611.11",ESTELA MONTENEGRO S.R.L.,190500000640
17/03/2026,CAJA PLANA REPUESTO 852 Nº2,"2,555.56",ESTELA MONTENEGRO S.R.L.,LI5013
17/03/2026,CAJA PLANA REPUESTO 853 Nº3,"2,944.44",ESTELA MONTENEGRO S.R.L.,LI5014
17/03/2026,CALCULADORA CALCUMAX 515603,"3,888.89",ESTELA MONTENEGRO S.R.L.,LI5021
17/03/2026,CARPETA CARTONE RIVADAVIA AROS FANTASIA MT-001,722.22,,3532532534
17/03/2026,CARPETA FOLIADA A4 X 20,"2,000.00",ESTELA MONTENEGRO S.R.L.,190500000820
17/03/2026,CARPETA FOLIADA A4 X 40,"3,000.00",ESTELA MONTENEGRO S.R.L.,190500000822
17/03/2026,CARPETA FOLIADA A4 X 60,"3,500.00",ESTELA MONTENEGRO S.R.L.,190500000823
17/03/2026,CARPETA FOLIADA A4 X 80,"6,500.00",ESTELA MONTENEGRO S.R.L.,LI5173
17/03/2026,CARPETA FOLIADA OFICIO X 30,"2,888.89",,303192
17/03/2026,CARPETA FOLIADA X 10 LAMA A4,"1,500.00",REX,LI10023
17/03/2026,CARPETA KIRUKI OFICIO TAPAS FANTASIA,"2,555.56",ESTELA MONTENEGRO S.R.L.,LI5182
17/03/2026,CARPETA LUMA A4 CON FOLIO X20,"1,722.22",ESTELA MONTENEGRO S.R.L.,190500000880
17/03/2026,CARPETA LUMA A4 CON FOLIO X60,"4,277.78",ESTELA MONTENEGRO S.R.L.,LI5186
17/03/2026,CARPETA M.E. OFICIO CON CIERRE 05203747,"3,000.00",,LI7441
17/03/2026,CARPETA PH OFICIO CARTULINA PRESENTACION 3 SOLAPAS,555.56,ESTELA MONTENEGRO S.R.L.,LI5194
17/03/2026,CARPETA PPR A4 AROS CARTONE FANTASIA,"3,444.44",ESTELA MONTENEGRO S.R.L.,190500000936
17/03/2026,CARTON PAPERLAND PASSE PARTOUT 1.2 MM 70 X 100 BCO,"3,944.44",ESTELA MONTENEGRO S.R.L.,190500000993
17/03/2026,CARTON TURK ENTELADO 18X24,"3,222.22",ESTELA MONTENEGRO S.R.L.,190500000979
17/03/2026,CARTUCHERA CANOPLA INTERVEN CUADRADA CRISTAL 1405,"5,111.11",,303145
17/03/2026,CARTULINA LUMA METALIZADA X 1,777.78,ESTELA MONTENEGRO S.R.L.,190500001039
17/03/2026,CARTULINA LUMA METALIZADA X 10,"7,333.33",ESTELA MONTENEGRO S.R.L.,190500001040
17/03/2026,CINTA DECOTAPE CBX X 9,111.11,,190500001087
17/03/2026,CORDON ECOTEX ALGODON BLANCO 6 MM X 10 MT 1363,"3,277.78",REX,LI5308
17/03/2026,CUADERNO CUENCO TAPA FLEXIBLE CON ELASTICO X 80 NEGRO,"2,944.44",ESTELA MONTENEGRO S.R.L.,LI5347
17/03/2026,CUADERNO MOOVING MONITOR TAPA DURA CON ESPIRAL HARRY POTTER 1205222,"8,333.33",,302390
17/03/2026,CUADERNO NORPAC A4 120 / 140 HJS MOD.2140/41/43/45/48/EP41/EC,"12,555.56",ESTELA MONTENEGRO S.R.L.,LI5391
17/03/2026,CUADERNO TRIUNFANTE A4 CON ESPIRAL TAPA DURA X 120 HS FSIA,"6,500.00",ESTELA MONTENEGRO S.R.L.,190500001336
17/03/2026,CUADERNO TRIUNFANTE A4 CON ESPIRAL TAPA DURA X 80 LINEA ROSE,"4,555.56",ESTELA MONTENEGRO S.R.L.,190500001337
17/03/2026,CUADERNO TRIUNFANTE MONITOR ARAÑA TAPA DURA X 100,"6,666.67",ESTELA MONTENEGRO S.R.L.,190500001341
17/03/2026,CUADERNO TRIUNFANTE MONITOR ARAÑA TAPA DURA X50,"4,000.00",ESTELA MONTENEGRO S.R.L.,190500001343
17/03/2026,CUADERNO TRIUNFANTE MONITOR CALIGRAFIA X 24H,"3,000.00",ESTELA MONTENEGRO S.R.L.,204852
17/03/2026,CUADERNO TRIUNFANTE MONITOR LUNARES X 50,"4,000.00",ESTELA MONTENEGRO S.R.L.,LI5423
17/03/2026,CUADERNO TRIUNFANTE 123 N3 TAPA DURA ARAÑA X 48 HS,"4,888.89",ESTELA MONTENEGRO S.R.L.,LI5424
17/03/2026,CUADERNO TRIUNFANTE 123 N3 TAPA DURA ARAÑA X 50HS,"4,888.89",,190500001290
17/03/2026,CUADERNO TRIUNFANTE 123 N3 TAPA DURA X 100HS,"8,000.00",ESTELA MONTENEGRO S.R.L.,190500001350
17/03/2026,CUADERNO TRIUNFANTE MONITOR TAPA FLEXIBLE X 24,"1,166.67",ESTELA MONTENEGRO S.R.L.,190500001352
17/03/2026,ESCARAPELAS JUSTINO REDONDA X 24 EN BLISTER,"2,166.67",ESTELA MONTENEGRO S.R.L.,LI5452
17/03/2026,FOLIO LUMA CRISTAL A3 X50,0.00,ESTELA MONTENEGRO S.R.L.,190500001702
17/03/2026,FOLIO LUMA CRISTAL RIVADAVIA X 1,55.56,ESTELA MONTENEGRO S.R.L.,190500001703
17/03/2026,FOLIO LUMA EXTRA CRISTAL A4 X 100,"4,777.78",ESTELA MONTENEGRO S.R.L.,190500001707
17/03/2026,FOLIO LUMA EXTRA CRISTAL DOBLE OFICIO X 1,166.67,ESTELA MONTENEGRO S.R.L.,190500001710
